# processed: SCOTUS case-level judicial semantic scores
# source_upstream: Paper/data/scotus_judicial_semantics.csv
# orientation: higher latent_semantic_axis_z = historical/kinetic language pole
# generated_by: Paper/scripts/scotus_judicial_semantics.py
case_name,year,slug,cluster,tier,opinion_unit,word_count,structural_context_count,structural_context_per_1k,structural_context_score,formalist_procedure_count,formalist_procedure_per_1k,formalist_procedure_score,intent_doctrine_count,intent_doctrine_per_1k,intent_doctrine_score,historical_tradition_count,historical_tradition_per_1k,historical_tradition_score,kinetic_rights_count,kinetic_rights_per_1k,kinetic_rights_score,remedy_narrowing_count,remedy_narrowing_per_1k,remedy_narrowing_score,semantic_formalism_index,hardware_due_diligence_index,double_agent_basket_delta,latent_semantic_axis_z,basket_anchor_delta_z
Fisher v. University of Texas,2016,fisher_v_university_of_texas_2016,affirmative_action,baseline,full_case,804996,2351,2.9205,2.9205,3063,3.805,3.805,365,0.4534,0.4534,795,0.9876,0.9876,42,0.0522,0.0522,1331,1.6534,1.6534,2.9913,1.0398,-1.9515,1.1527,-0.0425
Foster v. Chatman,2016,foster_v_chatman_2016,jury_selection,baseline,full_case,12884,1,0.0776,0.0776,41,3.1822,3.1822,24,1.8628,1.8628,2,0.1552,0.1552,0,0.0,0.0,17,1.3195,1.3195,6.2869,0.1552,-6.1317,0.5395,-0.6617
Utah v. Strieff,2016,utah_v_strieff_2016,carceral_enforcement,baseline,full_case,95229,234,2.4572,2.4572,86,0.9031,0.9031,289,3.0348,3.0348,67,0.7036,0.7036,30,0.315,0.315,147,1.5436,1.5436,3.0243,1.0186,-2.0057,1.0634,-0.1946
Abbott v. Perez,2018,abbott_v_perez_2018,voting_rights,baseline,full_case,258832,369,1.4256,1.4256,944,3.6472,3.6472,1425,5.5055,5.5055,179,0.6916,0.6916,26,0.1005,0.1005,745,2.8783,2.8783,10.6054,0.7921,-9.8133,-1.9807,-1.7795
Trump v. Hawaii,2018,trump_v_hawaii_2018,racial_classification,3,full_case,20933,17,0.8121,0.8121,63,3.0096,3.0096,17,0.8121,0.8121,61,2.9141,2.9141,1,0.0478,0.0478,78,3.7262,3.7262,6.7358,2.9619,-3.7739,0.2217,-0.5745
Flowers v. Mississippi,2019,flowers_v_mississippi_2019,jury_selection,3,full_case,18713,58,3.0994,3.0994,93,4.9698,4.9698,55,2.9391,2.9391,43,2.2979,2.2979,4,0.2138,0.2138,7,0.3741,0.3741,5.1836,2.5117,-2.6719,0.3725,-0.3976
Rucho v. Common Cause,2019,rucho_v_common_cause_2019,voting_rights,3,full_case,16413,23,1.4013,1.4013,81,4.9351,4.9351,46,2.8027,2.8027,19,1.1576,1.1576,6,0.3656,0.3656,17,1.0358,1.0358,7.3723,1.5232,-5.8491,-1.6353,-0.8504
Timbs v. Indiana,2019,timbs_v_indiana_2019,carceral_enforcement,3,full_case,5584,4,0.7163,0.7163,1,0.1791,0.1791,2,0.3582,0.3582,59,10.5659,10.5659,2,0.3582,0.3582,0,0.0,0.0,-0.179,10.9241,11.1031,0.3277,1.7205
Ramos v. Louisiana,2020,ramos_v_louisiana_2020,carceral_enforcement,3,full_case,19940,22,1.1033,1.1033,152,7.6229,7.6229,12,0.6018,0.6018,97,4.8646,4.8646,2,0.1003,0.1003,7,0.3511,0.3511,7.4725,4.9649,-2.5076,0.497,-0.3226
Brnovich v. Democratic National Committee,2021,brnovich_v_democratic_national_committee_2021,voting_rights,3,full_case,21326,85,3.9857,3.9857,108,5.0642,5.0642,73,3.4231,3.4231,67,3.1417,3.1417,2,0.0938,0.0938,16,0.7503,0.7503,5.2519,3.2355,-2.0164,-2.0014,-0.428
