state,state_fips,fa_homicide_rate_2024,fa_homicide_count_2024,fa_homicide_rate_2020_2024_pooled,fa_homicide_count_2020_2024,fa_homicide_suppressed_years,fa_deaths_rate_2024,fa_deaths_count_2024,fa_deaths_rate_2020_2024_pooled,fa_deaths_count_2020_2024,fa_deaths_suppressed_years,giffords_grade,giffords_law_strength_rank,everytown_law_rank,everytown_gun_death_rank,poverty_rate_saipe_2024,poverty_rate_saipe_2020_2024_mean,median_hh_income_saipe_2024,median_hh_income_acs2024_5yr,gini_acs2024_5yr,source_firearm,source_law_rankings,source_poverty_income_gini,access_date
Maryland,24,6.5,404,8.13,2522,,11.6,716,12.84,3984,,A-,8,8,38,9.2,9.6,102835,103678.0,0.4563,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Massachusetts,25,1.4,96,1.57,552,,4.1,287,3.79,1335,,A,5,3,49,9.8,10.1,104569,103960.0,0.4886,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Michigan,26,4.0,405,5.83,2936,,12.2,1228,14.12,7114,,B-,17,20,34,13.4,13.16,72336,72875.0,0.4653,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Minnesota,27,2.5,142,2.49,715,,10.1,582,9.6,2754,,B,15,14,43,9.3,9.14,87120,89062.0,0.4525,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Mississippi,28,16.0,469,17.34,2555,,27.6,810,29.06,4282,,F,43,49,1,17.8,18.64,59301,56447.0,0.4825,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Missouri,29,7.4,460,9.39,2907,,19.9,1234,22.25,6887,,F,46,40,10,12.2,12.44,71583,70702.0,0.4653,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Montana,30,2.2,25,2.81,157,,21.8,247,23.03,1286,,F,45,45,8,10.4,11.68,75520,72509.0,0.4648,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Nebraska,31,2.2,43,2.22,220,,11.0,218,10.84,1072,,C-,23,25,40,10.6,10.32,76578,76475.0,0.4561,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
Nevada,32,5.3,170,5.54,882,,18.2,582,18.82,2996,,B-,19,19,16,11.8,12.62,81129,78260.0,0.4672,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
New Hampshire,33,0.8,11,,43,2020;2021,10.8,152,10.07,702,,F,34,43,42,7.3,7.28,100364,99031.0,0.444,"https://data.cdc.gov/resource/fpsi-y8tj.csv (CDC NCIPC Mapping Injury, Overdose, and Violence - State) | denominators for pooled rates: https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/state/totals/NST-EST2024-ALLDATA.csv",https://giffords.org/lawcenter/resources/scorecard/ | https://everytownresearch.org/rankings/,"https://www2.census.gov/programs-surveys/saipe/datasets/2024/2024-state-and-county/est24all.txt (+ est20-est23 for the 2020-2024 mean) | ACS 2024 5-year table-based SF, tables B19013 and B19083, https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/",2026-09-24
